Subject ID,Sex,Age at Start,Strain,Previous Experience,Group,Press Rate
JG28 #17,M,9 weeks,C57/Bl6,Handling,Control Degraded,3.1
JG28 #18,M,9 weeks,C57/Bl6,Handling,Control Degraded,5.6
JG28 #19,M,9 weeks,C57/Bl6,Handling,Control Degraded,1.2
JG28 #20,M,9 weeks,C57/Bl6,Handling,Control Degraded,6.2
JG28 #21,F,9 weeks,C57/Bl6,Handling,Control Degraded,1.8
JG28 #22,F,9 weeks,C57/Bl6,Handling,Control Degraded,2.8
JG28 #23,F,9 weeks,C57/Bl6,Handling,Control Degraded,3.7
JG28 #25,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,17.6
JG28 #26,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,15.9
JG28 #27,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,25.4
JG28 #29,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,13.6
JG28 #30,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,10.6
JG28 #31,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,15.7
JG28 #32,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,8.8
JG28 #1,M,9 weeks,C57/Bl6,Stress,Stress Degraded,9.5
JG28 #2,M,9 weeks,C57/Bl6,Stress,Stress Degraded,21.9
JG28 #3,M,9 weeks,C57/Bl6,Stress,Stress Degraded,15.7
JG28 #4,M,9 weeks,C57/Bl6,Stress,Stress Degraded,17.4
JG28 #5,F,9 weeks,C57/Bl6,Stress,Stress Degraded,9.3
JG28 #6,F,9 weeks,C57/Bl6,Stress,Stress Degraded,6.6
JG28 #7,F,9 weeks,C57/Bl6,Stress,Stress Degraded,10.9
JG28 #8,F,9 weeks,C57/Bl6,Stress,Stress Degraded,6.5
JG28 #10,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,20.4
JG28 #11,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,14
JG28 #12,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,12.6
JG28 #13,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,10.6
JG28 #14,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,10.8
JG28 #15,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,5.7
JG28 #16,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,7.9
