Subject ID,Sex,Age at Start,Strain,Previous Experience,Group,Press Rate
JG28 #17,M,9 weeks,C57/Bl6,Handling,Degraded,3.10
JG28 #18,M,9 weeks,C57/Bl6,Handling,Degraded,5.60
JG28 #19,M,9 weeks,C57/Bl6,Handling,Degraded,1.20
JG28 #20,M,9 weeks,C57/Bl6,Handling,Degraded,6.20
JG28 #21,F,9 weeks,C57/Bl6,Handling,Degraded,1.80
JG28 #22,F,9 weeks,C57/Bl6,Handling,Degraded,2.80
JG28 #23,F,9 weeks,C57/Bl6,Handling,Degraded,3.70
JG28 #25,M,9 weeks,C57/Bl6,Handling,Non-Degraded,17.60
JG28 #26,M,9 weeks,C57/Bl6,Handling,Non-Degraded,15.90
JG28 #27,M,9 weeks,C57/Bl6,Handling,Non-Degraded,25.40
JG28 #29,F,9 weeks,C57/Bl6,Handling,Non-Degraded,13.60
JG28 #30,F,9 weeks,C57/Bl6,Handling,Non-Degraded,10.60
JG28 #31,F,9 weeks,C57/Bl6,Handling,Non-Degraded,15.70
JG28 #32,F,9 weeks,C57/Bl6,Handling,Non-Degraded,8.80
JG28 #1,M,9 weeks,C57/Bl6,Stress,Degraded,9.50
JG28 #2,M,9 weeks,C57/Bl6,Stress,Degraded,21.90
JG28 #3,M,9 weeks,C57/Bl6,Stress,Degraded,15.70
JG28 #4,M,9 weeks,C57/Bl6,Stress,Degraded,17.40
JG28 #5,F,9 weeks,C57/Bl6,Stress,Degraded,9.30
JG28 #6,F,9 weeks,C57/Bl6,Stress,Degraded,6.60
JG28 #7,F,9 weeks,C57/Bl6,Stress,Degraded,10.90
JG28 #8,F,9 weeks,C57/Bl6,Stress,Degraded,6.50
JG28 #10,M,9 weeks,C57/Bl6,Stress,Non-Degraded,20.40
JG28 #11,M,9 weeks,C57/Bl6,Stress,Non-Degraded,14
JG28 #12,M,9 weeks,C57/Bl6,Stress,Non-Degraded,12.60
JG28 #13,F,9 weeks,C57/Bl6,Stress,Non-Degraded,10.60
JG28 #14,F,9 weeks,C57/Bl6,Stress,Non-Degraded,10.80
JG28 #15,F,9 weeks,C57/Bl6,Stress,Non-Degraded,5.70
JG28 #16,F,9 weeks,C57/Bl6,Stress,Non-Degraded,7.90
