Subject ID,Sex,Age at Start,Strain,Previous Experience,Group,Day 1,Day 2,Day 3,Day 4,,,,Day 1 AVG,Day 2 AVG,Day 3 AVG,Day 4 AVG
JG28 #17,M,9 weeks,C57/Bl6,Handling,Control Degraded,1.57,5.17,8.63,14.38,,Control Degraded,,2.14,5.727142857,10.27571429,15.72571429
JG28 #18,M,9 weeks,C57/Bl6,Handling,Control Degraded,2.48,8.88,12.33,18.77,,Control Non-Degraded,,6.24,6.417142857,10.70571429,16.07714286
JG28 #19,M,9 weeks,C57/Bl6,Handling,Control Degraded,1.65,6.84,7.54,16.68,,Stress Degraded,,2.235,5.624285714,10.11142857,15.52
JG28 #20,M,9 weeks,C57/Bl6,Handling,Control Degraded,2.39,5.41,14.14,18.76,,Stress Non-Degraded,,2.625714286,6.344285714,10.89,16.79142857
JG28 #21,F,9 weeks,C57/Bl6,Handling,Control Degraded,1.32,2.03,7.92,14.53,,,,,,,
JG28 #22,F,9 weeks,C57/Bl6,Handling,Control Degraded,2.94,5.23,9.95,13.38,,,,,,,
JG28 #23,F,9 weeks,C57/Bl6,Handling,Control Degraded,2.63,6.53,11.42,13.58,,,,,,,
JG28 #25,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,1.97,10,11.64,16.84,,,,,,,
JG28 #26,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,0.95,3.33,8.17,14.87,,,,,,,
JG28 #27,M,9 weeks,C57/Bl6,Handling,Control Non-Degraded,3.1,11.88,12.99,25.58,,,,,,,
JG28 #29,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,1.32,3.38,7.85,15.12,,,,,,,
JG28 #30,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,1.85,8.09,10.92,21.17,,,,,,,
JG28 #31,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,1.1,3.27,6.57,12.83,,,,,,,
JG28 #32,F,9 weeks,C57/Bl6,Handling,Control Non-Degraded,1.12,3.73,5.59,10.44,,,,,,,
JG28 #1,M,9 weeks,C57/Bl6,Stress,Stress Degraded,2.36,6.53,12.35,16.71,,,,,,,
JG28 #2,M,9 weeks,C57/Bl6,Stress,Stress Degraded,3.26,1,9.96,21.38,,,,,,,
JG28 #3,M,9 weeks,C57/Bl6,Stress,Stress Degraded,1.42,5.07,13,19.17,,,,,,,
JG28 #4,M,9 weeks,C57/Bl6,Stress,Stress Degraded,2.96,7.29,12.89,18.72,,,,,,,
JG28 #5,F,9 weeks,C57/Bl6,Stress,Stress Degraded,1.68,2.67,5.74,8.39,,,,,,,
JG28 #6,F,9 weeks,C57/Bl6,Stress,Stress Degraded,1.57,2.7,6.61,7.74,,,,,,,
JG28 #7,F,9 weeks,C57/Bl6,Stress,Stress Degraded,2.11,6.81,11.66,14.36,,,,,,,
JG28 #8,F,9 weeks,C57/Bl6,Stress,Stress Degraded,2.52,3.8,9.4,13.33,,,,,,,
JG28 #10,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,3.97,7.29,16.3,27.58,,,,,,,
JG28 #11,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,1.92,5.73,12.98,20.84,,,,,,,
JG28 #12,M,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,1.9,4.27,13.56,21.71,,,,,,,
JG28 #13,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,3.08,3.43,8.9,11.98,,,,,,,
JG28 #14,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,4.03,6.99,9.03,14.51,,,,,,,
JG28 #15,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,1.97,5.65,9.58,13.47,,,,,,,
JG28 #16,F,9 weeks,C57/Bl6,Stress,Stress Non-Degraded,1.51,0.93,6.51,11.59,,,,,,,
