Subject,Group,Stress,Contingency,PressRate
Control_Non-degraded_0,Control Non-degraded,Control,Non-degraded,6.136124826056103
Control_Non-degraded_1,Control Non-degraded,Control,Non-degraded,6.81760335061572
Control_Non-degraded_2,Control Non-degraded,Control,Non-degraded,9.42725487239251
Control_Non-degraded_3,Control Non-degraded,Control,Non-degraded,9.12065202168539
Control_Non-degraded_4,Control Non-degraded,Control,Non-degraded,25.136250291647787
Control_Non-degraded_5,Control Non-degraded,Control,Non-degraded,9.369524321585144
Control_Non-degraded_6,Control Non-degraded,Control,Non-degraded,20.072113293989904
Control_Degraded_0,Control Degraded,Control,Degraded,4.873097684794793
Control_Degraded_1,Control Degraded,Control,Degraded,4.800054315656808
Control_Degraded_2,Control Degraded,Control,Degraded,4.071508739026258
Control_Degraded_3,Control Degraded,Control,Degraded,2.044747217955026
Control_Degraded_4,Control Degraded,Control,Degraded,2.4933991305404777
Control_Degraded_5,Control Degraded,Control,Degraded,1.3120627267550276
Control_Degraded_6,Control Degraded,Control,Degraded,1.754757430202494
Stress_Non-degraded_0,Stress Non-degraded,Stress,Non-degraded,6.1340804692564905
Stress_Non-degraded_1,Stress Non-degraded,Stress,Non-degraded,12.069998258557623
Stress_Non-degraded_2,Stress Non-degraded,Stress,Non-degraded,8.677875515393508
Stress_Non-degraded_3,Stress Non-degraded,Stress,Non-degraded,14.57396507323258
Stress_Non-degraded_4,Stress Non-degraded,Stress,Non-degraded,18.663771174440935
Stress_Non-degraded_5,Stress Non-degraded,Stress,Non-degraded,25.8702292337727
Stress_Non-degraded_6,Stress Non-degraded,Stress,Non-degraded,11.468372708097174
Stress_Degraded_0,Stress Degraded,Stress,Degraded,4.259742866094704
Stress_Degraded_1,Stress Degraded,Stress,Degraded,18.254301718477475
Stress_Degraded_2,Stress Degraded,Stress,Degraded,10.960492123167667
Stress_Degraded_3,Stress Degraded,Stress,Degraded,15.422128118860051
Stress_Degraded_4,Stress Degraded,Stress,Degraded,5.9620016483086085
Stress_Degraded_5,Stress Degraded,Stress,Degraded,9.226576840678051
Stress_Degraded_6,Stress Degraded,Stress,Degraded,12.480115997735304
Stress_Degraded_7,Stress Degraded,Stress,Degraded,7.346471420909984
