Session,Subject,PressRate,Stress,Contingency
1,control_deg_0,1.1741420447248192,Control,Degraded
1,control_deg_1,2.120824863449775,Control,Degraded
1,control_deg_2,1.7556453056179904,Control,Degraded
1,control_deg_3,1.2334246796602044,Control,Degraded
1,control_deg_4,3.0139946493860736,Control,Degraded
1,control_deg_5,1.8449028031871486,Control,Degraded
1,control_deg_6,1.6568895565979742,Control,Degraded
1,control_non_deg_0,2.4380521400354978,Control,Non-degraded
1,control_non_deg_1,0.6618690901034145,Control,Non-degraded
1,control_non_deg_2,0.627753429723713,Control,Non-degraded
1,control_non_deg_3,1.7253849178885265,Control,Non-degraded
1,control_non_deg_4,2.2809562551679234,Control,Non-degraded
1,control_non_deg_5,2.15603640775186,Control,Non-degraded
1,control_non_deg_6,1.3774032854039966,Control,Non-degraded
1,stress_deg_0,1.570647641185834,Stress,Degraded
1,stress_deg_1,3.299872923733857,Stress,Degraded
1,stress_deg_2,4.442174180111045,Stress,Degraded
1,stress_deg_3,2.892855127049559,Stress,Degraded
1,stress_deg_4,2.317494927490928,Stress,Degraded
1,stress_deg_5,2.729695071708626,Stress,Degraded
1,stress_deg_6,1.9726254034196435,Stress,Degraded
1,stress_deg_7,2.3336451346342177,Stress,Degraded
1,stress_non_deg_0,2.1906804178460066,Stress,Non-degraded
1,stress_non_deg_1,2.4562848955725096,Stress,Non-degraded
1,stress_non_deg_2,2.7733452373523884,Stress,Non-degraded
1,stress_non_deg_3,2.927455653309788,Stress,Non-degraded
1,stress_non_deg_4,2.328987335806428,Stress,Non-degraded
1,stress_non_deg_5,4.432718125777422,Stress,Non-degraded
1,stress_non_deg_6,2.467846429240514,Stress,Non-degraded
2,control_deg_0,7.168360427429789,Control,Degraded
2,control_deg_1,8.013797461807188,Control,Degraded
2,control_deg_2,8.52159737231732,Control,Degraded
2,control_deg_3,2.868566276612224,Control,Degraded
2,control_deg_4,6.742660886261405,Control,Degraded
2,control_deg_5,7.300353266960645,Control,Degraded
2,control_deg_6,6.485914071368363,Control,Degraded
2,control_non_deg_0,5.082809561576583,Control,Non-degraded
2,control_non_deg_1,11.28955485829024,Control,Non-degraded
2,control_non_deg_2,3.9440180884993334,Control,Non-degraded
2,control_non_deg_3,7.621647448631453,Control,Non-degraded
2,control_non_deg_4,5.503069208999855,Control,Non-degraded
2,control_non_deg_5,8.97215094757196,Control,Non-degraded
2,control_non_deg_6,9.392519916752414,Control,Non-degraded
2,stress_deg_0,1.0257893988855846,Stress,Degraded
2,stress_deg_1,0.6580554158596122,Stress,Degraded
2,stress_deg_2,3.9811879334256064,Stress,Degraded
2,stress_deg_3,3.660061046651452,Stress,Degraded
2,stress_deg_4,5.353099584602369,Stress,Degraded
2,stress_deg_5,6.054958479936866,Stress,Degraded
2,stress_deg_6,1.802602469394811,Stress,Degraded
2,stress_deg_7,2.6627746435639374,Stress,Degraded
2,stress_non_deg_0,4.812668914083714,Stress,Non-degraded
2,stress_non_deg_1,10.912781849244258,Stress,Non-degraded
2,stress_non_deg_2,1.5836433483704497,Stress,Non-degraded
2,stress_non_deg_3,5.112358942962345,Stress,Non-degraded
2,stress_non_deg_4,6.065378551660561,Stress,Non-degraded
2,stress_non_deg_5,6.712224409621542,Stress,Non-degraded
2,stress_non_deg_6,5.013497401955669,Stress,Non-degraded
3,control_deg_0,9.875193815429274,Control,Degraded
3,control_deg_1,10.964370564364055,Control,Degraded
3,control_deg_2,10.494302166575132,Control,Degraded
3,control_deg_3,10.364300188175989,Control,Degraded
3,control_deg_4,12.116559534044068,Control,Degraded
3,control_deg_5,7.958651543874526,Control,Degraded
3,control_deg_6,9.67538940042383,Control,Degraded
3,control_non_deg_0,12.173495055141748,Control,Non-degraded
3,control_non_deg_1,9.212051856720596,Control,Non-degraded
3,control_non_deg_2,8.513251278156915,Control,Non-degraded
3,control_non_deg_3,6.636055719913718,Control,Non-degraded
3,control_non_deg_4,8.35430964391324,Control,Non-degraded
3,control_non_deg_5,9.719615099711765,Control,Non-degraded
3,control_non_deg_6,9.801523663994653,Control,Non-degraded
3,stress_deg_0,12.189980231417058,Stress,Degraded
3,stress_deg_1,11.58860541636596,Stress,Degraded
3,stress_deg_2,14.334985691478957,Stress,Degraded
3,stress_deg_3,8.56225667242576,Stress,Degraded
3,stress_deg_4,16.007018593502313,Stress,Degraded
3,stress_deg_5,13.257901056236472,Stress,Degraded
3,stress_deg_6,12.463386391377595,Stress,Degraded
3,stress_deg_7,5.7364557166580665,Stress,Degraded
3,stress_non_deg_0,15.155163614851594,Stress,Non-degraded
3,stress_non_deg_1,2.929246139709281,Stress,Non-degraded
3,stress_non_deg_2,10.874471589352448,Stress,Non-degraded
3,stress_non_deg_3,0.0,Stress,Non-degraded
3,stress_non_deg_4,10.304823445957807,Stress,Non-degraded
3,stress_non_deg_5,12.16866107765331,Stress,Non-degraded
3,stress_non_deg_6,10.801747737995697,Stress,Non-degraded
4,control_deg_0,13.888319389526515,Control,Degraded
4,control_deg_1,14.52219293704306,Control,Degraded
4,control_deg_2,9.364331438468279,Control,Degraded
4,control_deg_3,15.691234432071436,Control,Degraded
4,control_deg_4,13.689724106170537,Control,Degraded
4,control_deg_5,17.071829460347583,Control,Degraded
